cell_id,aggregator,perturbation,byzantine_f,severity,seed,n_steps,status,final_loss,perplexity
rfa_pmagnitude_f1_s10.0_seed42,rfa,magnitude,1,10.0,42,50,completed,5.003961530327797,139.71798092009686
trimmed_pmagnitude_f1_s10.0_seed42,trimmed,magnitude,1,10.0,42,50,completed,4.997059587955475,141.02452631170416
rfa_pmagnitude_f1_s100.0_seed42,rfa,magnitude,1,100.0,42,25,running,5.488178877234459,
trimmed_pmagnitude_f1_s100.0_seed42,trimmed,magnitude,1,100.0,42,33,running,5.20833670258522,
mean_pmagnitude_f2_s10.0_seed42,mean,magnitude,2,10.0,42,50,completed,nan,nan
median_pmagnitude_f2_s10.0_seed42,median,magnitude,2,10.0,42,50,running,4.9847961371541025,
rfa_pmagnitude_f2_s10.0_seed42,rfa,magnitude,2,10.0,42,50,completed,4.999821467936039,138.89305154469585
trimmed_pmagnitude_f2_s10.0_seed42,trimmed,magnitude,2,10.0,42,50,completed,4.994540528893471,141.11723080502645
mean_pmagnitude_f2_s100.0_seed42,mean,magnitude,2,100.0,42,50,completed,nan,nan
median_pmagnitude_f2_s100.0_seed42,median,magnitude,2,100.0,42,50,completed,4.9889618905782696,142.07418543053865
rfa_pmagnitude_f2_s100.0_seed42,rfa,magnitude,2,100.0,42,50,completed,5.0027192508578295,141.00881858300835
trimmed_pmagnitude_f2_s100.0_seed42,trimmed,magnitude,2,100.0,42,50,completed,4.98582234197855,145.0245195133092
mean_pmagnitude_f2_s1000.0_seed42,mean,magnitude,2,1000.0,42,50,completed,nan,nan
median_pmagnitude_f2_s1000.0_seed42,median,magnitude,2,1000.0,42,50,completed,4.975537353098392,140.06609121573032
rfa_pmagnitude_f2_s1000.0_seed42,rfa,magnitude,2,1000.0,42,50,completed,4.997305332183838,142.5827731324618
trimmed_pmagnitude_f2_s1000.0_seed42,trimmed,magnitude,2,1000.0,42,50,completed,4.985120066583157,141.8112335283995
rfa_pmagnitude_f4_s10.0_seed42,rfa,magnitude,4,10.0,42,50,completed,4.959259360909462,179.66539611140578
trimmed_pmagnitude_f4_s10.0_seed42,trimmed,magnitude,4,10.0,42,50,crashed,4483.0436290283205,
mean_pnone_f0_s0.0_seed42,mean,none,0,0.0,42,50,completed,5.009768458247185,138.66326433010727
median_pnone_f0_s0.0_seed42,median,none,0,0.0,42,30,running,5.400982306361199,
rfa_pnone_f0_s0.0_seed42,rfa,none,0,0.0,42,50,completed,5.005004745423793,138.89511129331302
trimmed_pnone_f0_s0.0_seed42,trimmed,none,0,0.0,42,50,completed,5.015258444130421,146.97346158545554
